Time_s,Signal
0,-0.051325531
0.01,-0.06098596
0.02,-0.023395407
0.03,-0.027809517
0.04,-0.073363546
0.05,-0.042566741
0.06,-0.030892474
0.07,-0.061649787
0.08,-0.061955639
0.09,-0.033102947
0.1,-0.057099818
0.11,-0.070209377
0.12,-0.051233729
0.13,-0.04871031
0.14,-0.079744309
0.15,-0.045870143
0.16,-0.043073365
0.17,-0.075079406
0.18,-0.061275064
0.19,-0.009854662
0.2,-0.020408897
0.21,-0.002907183
0.22,0.012687721
0.23,0.040455235
0.24,0.038595618
0.25,0.039924354
0.26,0.021645658
0.27,0.006129034
0.28,-0.004292926
0.29,0.004501406
0.3,-0.019232493
0.31,-0.039310944
0.32,-0.011846292
0.33,-0.017153592
0.34,-0.033983374
0.35,0.008599248
0.36,0.009162466
0.37,0.036422466
0.38,0.114473311
0.39,0.286179106
0.4,0.567531025
0.41,0.696886048
0.42,0.495410922
0.43,0.279217825
0.44,0.127823939
0.45,0.017257488
0.46,0.009205546
0.47,-0.041662484
0.48,-0.045239621
0.49,-0.041538789
0.5,-0.072681776
0.51,-0.071873168
0.52,-0.054747141
0.53,-0.048464602
0.54,-0.080865305
0.55,-0.078668035
0.56,-0.064776392
0.57,-0.079831804
0.58,-0.087308201
0.59,-0.045247213
0.6,-0.056664397
0.61,-0.054553927
0.62,-0.033438872
0.63,-0.041094571
0.64,-0.039222759
0.65,-0.006171037
0.66,0.004333847
0.67,0.018215944
0.68,0.05494343
0.69,0.103354229
0.7,0.123100857
0.71,0.127713112
0.72,0.156549334
0.73,0.144413252
0.74,0.096696825
0.75,0.087688279
0.76,0.065258653
0.77,0.025030778
0.78,-0.004371978
0.79,0.010513584
0.8,-0.035928699
0.81,-0.03393807
0.82,-0.012433367
0.83,-0.032597211
0.84,-0.051837316
0.85,-0.040202292
0.86,-0.02763253
0.87,-0.043166649
0.88,-0.056706728
0.89,-0.027313283
0.9,-0.038838822
0.91,-0.061578991
0.92,-0.058167926
0.93,-0.055092107
0.94,-0.082588452
0.95,-0.064832465
0.96,-0.0455352
0.97,-0.088553832
0.98,-0.086238901
0.99,-0.059205654
1,-0.072449192
