Time_s,Signal
0.0,1.1
0.001,1.12
0.002,1.13
0.003,1.14
0.004,1.15
0.005,1.14
0.006,1.15
0.007,1.15
0.008,1.14
0.009000000000000001,1.15
0.01,1.17
0.011,1.18
0.012,1.18
0.013000000000000001,1.19
0.014,1.2
0.015,1.21
0.016,1.21
0.017,1.22
0.018000000000000002,1.23
0.019,1.24
0.02,1.25
0.021,1.27
0.022,1.27
0.023,1.29
0.024,1.29
0.025,1.3
0.026000000000000002,1.3
0.027,1.31
0.028,1.33
0.029,1.34
0.03,1.36
0.031,1.37
0.032,1.4
0.033,1.41
0.034,1.43
0.035,1.45
0.036000000000000004,1.46
0.037,1.47
0.038,1.47
0.039,1.48
0.04,1.47
0.041,1.47
0.042,1.46
0.043000000000000003,1.44
0.044,1.43
0.045,1.42
0.046,1.4
0.047,1.38
0.048,1.37
0.049,1.37
0.05,1.35
0.051000000000000004,1.35
0.052000000000000005,1.33
0.053,1.32
0.054,1.31
0.055,1.3
0.056,1.29
0.057,1.29
0.058,1.29
0.059000000000000004,1.29
0.06,1.28
0.061,1.28
0.062,1.27
0.063,1.26
0.064,1.26
0.065,1.27
0.066,1.27
0.067,1.27
0.068,1.26
0.069,1.26
0.07,1.25
0.07100000000000001,1.25
0.07200000000000001,1.25
0.073,1.24
0.074,1.24
0.075,1.25
0.076,1.25
0.077,1.25
0.078,1.24
0.079,1.23
0.08,1.24
0.081,1.23
0.082,1.22
0.083,1.22
0.084,1.22
0.085,1.21
0.08600000000000001,1.21
0.08700000000000001,1.2
0.088,1.2
0.089,1.19
0.09,1.19
0.091,1.18
0.092,1.18
0.093,1.17
0.094,1.17
0.095,1.16
0.096,1.15
0.097,1.14
0.098,1.14
0.099,1.13
0.1,1.13
0.101,1.11
0.10200000000000001,1.11
0.10300000000000001,1.1
0.10400000000000001,1.1
0.105,1.1
0.106,1.09
0.107,1.07
0.108,1.07
0.109,1.07
0.11,1.06
0.111,1.06
0.112,1.06
0.113,1.05
0.114,1.05
0.115,1.05
0.116,1.05
0.117,1.05
0.11800000000000001,1.05
0.11900000000000001,1.05
0.12,1.04
0.121,1.05
0.122,1.05
0.123,1.05
0.124,1.06
0.125,1.06
0.126,1.05
