Time_s,Signal
0.0,1.08
0.001,1.08
0.002,1.08
0.003,1.08
0.004,1.07
0.005,1.09
0.006,1.08
0.007,1.09
0.008,1.08
0.009000000000000001,1.08
0.01,1.07
0.011,1.07
0.012,1.08
0.013000000000000001,1.08
0.014,1.08
0.015,1.07
0.016,1.07
0.017,1.07
0.018000000000000002,1.08
0.019,1.07
0.02,1.08
0.021,1.08
0.022,1.08
0.023,1.07
0.024,1.08
0.025,1.07
0.026000000000000002,1.07
0.027,1.07
0.028,1.07
0.029,1.07
0.03,1.08
0.031,1.08
0.032,1.07
0.033,1.07
0.034,1.08
0.035,1.08
0.036000000000000004,1.08
0.037,1.08
0.038,1.08
0.039,1.08
0.04,1.08
0.041,1.07
0.042,1.08
0.043000000000000003,1.07
0.044,1.08
0.045,1.08
0.046,1.08
0.047,1.08
0.048,1.08
0.049,1.08
0.05,1.07
0.051000000000000004,1.07
0.052000000000000005,1.07
0.053,1.08
0.054,1.08
0.055,1.08
0.056,1.08
0.057,1.07
0.058,1.07
0.059000000000000004,1.08
0.06,1.07
0.061,1.08
0.062,1.08
0.063,1.08
0.064,1.07
0.065,1.07
0.066,1.07
0.067,1.07
0.068,1.07
0.069,1.07
0.07,1.08
0.07100000000000001,1.08
0.07200000000000001,1.07
0.073,1.07
0.074,1.07
0.075,1.07
0.076,1.07
0.077,1.06
0.078,1.06
0.079,1.07
0.08,1.06
0.081,1.07
0.082,1.06
0.083,1.06
0.084,1.06
0.085,1.07
0.08600000000000001,1.07
0.08700000000000001,1.07
0.088,1.07
0.089,1.07
0.09,1.08
0.091,1.07
0.092,1.07
0.093,1.07
0.094,1.06
0.095,1.06
0.096,1.06
0.097,1.07
0.098,1.07
0.099,1.07
0.1,1.07
0.101,1.08
0.10200000000000001,1.07
0.10300000000000001,1.07
0.10400000000000001,1.07
0.105,1.07
0.106,1.07
0.107,1.07
0.108,1.08
0.109,1.08
0.11,1.07
0.111,1.07
0.112,1.07
0.113,1.07
0.114,1.07
0.115,1.08
0.116,1.07
0.117,1.08
0.11800000000000001,1.08
0.11900000000000001,1.07
0.12,1.08
0.121,1.08
0.122,1.08
0.123,1.07
0.124,1.07
0.125,1.06
0.126,1.07
0.127,1.07
0.128,1.08
0.129,1.07
0.13,1.08
0.131,1.07
0.132,1.07
0.133,1.07
0.134,1.07
0.135,1.08
0.136,1.08
0.137,1.08
0.138,1.07
0.139,1.07
0.14,1.07
0.14100000000000001,1.06
0.14200000000000002,1.07
0.14300000000000002,1.07
0.14400000000000002,1.08
0.145,1.07
0.146,1.07
0.147,1.07
0.148,1.08
0.149,1.08
0.15,1.09
0.151,1.09
0.152,1.09
0.153,1.09
0.154,1.09
0.155,1.1
0.156,1.1
0.157,1.1
0.158,1.07
0.159,1.07
0.16,1.07
0.161,1.08
0.162,1.08
0.163,1.08
0.164,1.08
0.165,1.08
0.166,1.08
0.167,1.07
0.168,1.08
0.169,1.09
0.17,1.09
0.171,1.07
0.17200000000000001,1.06
0.17300000000000001,1.08
0.17400000000000002,1.08
0.17500000000000002,1.06
0.176,1.07
0.177,1.08
0.178,1.06
0.179,1.07
0.18,1.07
0.181,1.08
0.182,1.07
0.183,1.07
0.184,1.08
0.185,1.08
0.186,1.08
0.187,1.08
0.188,1.08
0.189,1.08
0.19,1.08
0.191,1.08
0.192,1.08
0.193,1.07
0.194,1.08
0.195,1.08
0.196,1.08
0.197,1.09
0.198,1.09
0.199,1.09
0.2,1.08
0.201,1.08
0.202,1.07
0.203,1.06
0.20400000000000001,1.08
0.20500000000000002,1.07
0.20600000000000002,1.09
0.20700000000000002,1.07
0.20800000000000002,1.07
0.209,1.08
0.21,1.08
0.211,1.07
0.212,1.06
0.213,1.07
0.214,1.07
0.215,1.07
0.216,1.07
0.217,1.07
0.218,1.07
0.219,1.07
0.22,1.07
0.221,1.07
0.222,1.07
0.223,1.07
0.224,1.07
0.225,1.08
0.226,1.08
0.227,1.08
0.228,1.08
0.229,1.07
0.23,1.07
0.231,1.07
0.232,1.07
0.233,1.07
0.234,1.07
0.23500000000000001,1.07
0.23600000000000002,1.07
0.23700000000000002,1.07
0.23800000000000002,1.08
0.23900000000000002,1.07
0.24,1.07
0.241,1.07
0.242,1.08
0.243,1.08
0.244,1.07
0.245,1.08
0.246,1.08
0.247,1.07
0.248,1.07
0.249,1.07
0.25,1.07
0.251,1.07
0.252,1.08
0.253,1.07
0.254,1.07
0.255,1.08
0.256,1.08
0.257,1.08
0.258,1.08
0.259,1.07
0.26,1.07
0.261,1.07
0.262,1.07
0.263,1.07
0.264,1.07
0.265,1.06
0.266,1.06
0.267,1.05
0.268,1.06
0.269,1.06
0.27,1.05
0.271,1.05
0.272,1.05
0.273,1.06
0.274,1.07
0.275,1.07
0.276,1.07
0.277,1.07
0.278,1.07
0.279,1.06
0.28,1.08
0.281,1.08
0.28200000000000003,1.08
0.28300000000000003,1.07
0.28400000000000003,1.07
0.28500000000000003,1.07
0.28600000000000003,1.07
0.28700000000000003,1.07
0.28800000000000003,1.07
0.289,1.07
0.29,1.07
0.291,1.08
0.292,1.08
0.293,1.07
0.294,1.07
0.295,1.07
0.296,1.07
0.297,1.08
0.298,1.07
0.299,1.07
0.3,1.08
0.301,1.08
0.302,1.09
0.303,1.09
0.304,1.08
0.305,1.08
0.306,1.08
0.307,1.08
0.308,1.08
0.309,1.08
0.31,1.08
0.311,1.08
0.312,1.07
0.313,1.08
0.314,1.08
0.315,1.09
0.316,1.09
0.317,1.07
0.318,1.07
0.319,1.07
0.32,1.08
0.321,1.08
0.322,1.08
0.323,1.08
0.324,1.09
0.325,1.08
0.326,1.07
0.327,1.07
0.328,1.08
0.329,1.08
0.33,1.08
0.331,1.09
0.332,1.1
0.333,1.1
0.334,1.09
0.335,1.06
0.336,1.05
0.337,1.06
0.338,1.07
0.339,1.08
0.34,1.07
0.341,1.08
0.342,1.07
0.343,1.07
0.34400000000000003,1.06
0.34500000000000003,1.06
0.34600000000000003,1.07
0.34700000000000003,1.08
0.34800000000000003,1.09
0.34900000000000003,1.08
0.35000000000000003,1.08
0.35100000000000003,1.08
0.352,1.08
0.353,1.08
0.354,1.08
0.355,1.08
0.356,1.08
0.357,1.08
0.358,1.09
0.359,1.07
0.36,1.07
0.361,1.07
0.362,1.08
0.363,1.08
0.364,1.08
0.365,1.08
0.366,1.08
0.367,1.08
0.368,1.07
0.369,1.07
0.37,1.08
0.371,1.08
0.372,1.09
0.373,1.09
0.374,1.09
0.375,1.09
0.376,1.09
0.377,1.09
0.378,1.1
0.379,1.09
0.38,1.09
0.381,1.09
0.382,1.09
0.383,1.09
0.384,1.09
0.385,1.08
0.386,1.07
0.387,1.07
0.388,1.07
0.389,1.07
0.39,1.07
0.391,1.07
0.392,1.07
0.393,1.07
0.394,1.06
0.395,1.07
0.396,1.06
0.397,1.07
0.398,1.07
0.399,1.07
0.4,1.07
0.401,1.06
0.402,1.06
0.403,1.06
0.404,1.07
0.405,1.07
0.406,1.07
0.40700000000000003,1.08
0.40800000000000003,1.08
0.40900000000000003,1.07
0.41000000000000003,1.08
0.41100000000000003,1.08
0.41200000000000003,1.08
0.41300000000000003,1.07
0.41400000000000003,1.08
0.41500000000000004,1.08
0.41600000000000004,1.07
0.417,1.08
0.418,1.07
0.419,1.07
0.42,1.07
0.421,1.07
0.422,1.06
0.423,1.06
0.424,1.07
0.425,1.07
0.426,1.07
0.427,1.07
0.428,1.06
0.429,1.06
0.43,1.06
0.431,1.05
0.432,1.05
0.433,1.06
0.434,1.06
0.435,1.07
0.436,1.06
0.437,1.06
0.438,1.06
0.439,1.06
0.44,1.07
0.441,1.07
0.442,1.08
0.443,1.07
0.444,1.07
0.445,1.07
0.446,1.08
0.447,1.07
0.448,1.07
0.449,1.07
0.45,1.08
0.451,1.09
0.452,1.08
0.453,1.09
0.454,1.08
0.455,1.07
0.456,1.08
0.457,1.08
0.458,1.08
0.459,1.08
0.46,1.08
0.461,1.08
0.462,1.08
0.463,1.08
0.464,1.07
0.465,1.08
0.466,1.08
0.467,1.08
0.468,1.09
0.46900000000000003,1.08
0.47000000000000003,1.07
0.47100000000000003,1.08
0.47200000000000003,1.08
0.47300000000000003,1.09
0.47400000000000003,1.08
0.47500000000000003,1.07
0.47600000000000003,1.07
0.47700000000000004,1.07
0.47800000000000004,1.07
0.47900000000000004,1.09
0.48,1.09
0.481,1.09
0.482,1.08
0.483,1.06
0.484,1.06
0.485,1.07
0.486,1.05
0.487,1.07
0.488,1.07
0.489,1.08
0.49,1.08
0.491,1.08
0.492,1.08
0.493,1.07
0.494,1.07
0.495,1.08
0.496,1.08
0.497,1.08
0.498,1.07
0.499,1.08
0.5,1.09
0.501,1.09
0.502,1.09
0.503,1.07
0.504,1.06
0.505,1.06
0.506,1.07
0.507,1.08
0.508,1.08
0.509,1.09
0.51,1.09
0.511,1.09
0.512,1.08
0.513,1.08
0.514,1.09
0.515,1.08
0.516,1.08
0.517,1.08
0.518,1.08
0.519,1.08
0.52,1.08
0.521,1.08
0.522,1.08
0.523,1.08
0.524,1.09
0.525,1.08
0.526,1.09
0.527,1.09
0.528,1.08
0.529,1.08
0.53,1.08
0.531,1.07
0.532,1.08
0.533,1.08
0.534,1.07
0.535,1.07
0.536,1.07
0.537,1.06
0.538,1.06
0.539,1.06
0.54,1.06
0.541,1.07
0.542,1.07
0.543,1.08
0.544,1.07
0.545,1.07
0.546,1.07
0.547,1.07
0.548,1.07
0.549,1.07
0.55,1.07
0.551,1.07
0.552,1.07
0.553,1.07
0.554,1.07
0.555,1.08
0.556,1.07
0.557,1.07
0.558,1.08
0.559,1.07
0.56,1.07
0.561,1.08
0.562,1.08
0.5630000000000001,1.08
0.5640000000000001,1.08
0.5650000000000001,1.08
0.5660000000000001,1.08
0.5670000000000001,1.08
0.5680000000000001,1.07
0.5690000000000001,1.07
0.5700000000000001,1.07
0.5710000000000001,1.07
0.5720000000000001,1.08
0.5730000000000001,1.08
0.5740000000000001,1.07
0.5750000000000001,1.06
0.5760000000000001,1.07
0.577,1.08
0.578,1.08
0.579,1.07
0.58,1.06
0.581,1.07
0.582,1.06
0.583,1.07
0.584,1.07
0.585,1.07
0.586,1.08
0.587,1.08
0.588,1.09
0.589,1.08
0.59,1.09
0.591,1.08
0.592,1.07
0.593,1.07
0.594,1.07
0.595,1.06
0.596,1.07
0.597,1.07
0.598,1.07
0.599,1.08
0.6,1.07
0.601,1.08
0.602,1.08
0.603,1.07
0.604,1.07
0.605,1.08
0.606,1.08
0.607,1.07
0.608,1.07
0.609,1.08
0.61,1.07
0.611,1.08
0.612,1.07
0.613,1.08
0.614,1.08
0.615,1.08
0.616,1.08
0.617,1.07
0.618,1.07
0.619,1.08
0.62,1.07
0.621,1.08
0.622,1.08
0.623,1.07
0.624,1.08
0.625,1.08
0.626,1.08
0.627,1.08
0.628,1.09
0.629,1.09
0.63,1.09
0.631,1.08
0.632,1.08
0.633,1.08
0.634,1.08
0.635,1.07
0.636,1.07
0.637,1.07
0.638,1.08
0.639,1.07
0.64,1.08
0.641,1.08
0.642,1.07
0.643,1.08
0.644,1.08
0.645,1.08
0.646,1.08
0.647,1.07
0.648,1.08
0.649,1.07
0.65,1.08
0.651,1.08
0.652,1.08
0.653,1.07
0.654,1.08
0.655,1.08
0.656,1.07
0.657,1.07
0.658,1.07
0.659,1.07
0.66,1.08
0.661,1.07
0.662,1.08
0.663,1.08
0.664,1.08
0.665,1.07
0.666,1.08
0.667,1.08
0.668,1.09
0.669,1.07
0.67,1.08
0.671,1.07
0.672,1.07
0.673,1.07
0.674,1.07
0.675,1.07
0.676,1.08
0.677,1.07
0.678,1.07
0.679,1.07
0.68,1.07
0.681,1.06
0.682,1.07
0.683,1.07
0.684,1.08
0.685,1.08
0.686,1.08
0.687,1.08
0.6880000000000001,1.07
0.6890000000000001,1.07
0.6900000000000001,1.06
0.6910000000000001,1.07
0.6920000000000001,1.08
0.6930000000000001,1.08
0.6940000000000001,1.08
0.6950000000000001,1.08
0.6960000000000001,1.07
0.6970000000000001,1.08
0.6980000000000001,1.08
0.6990000000000001,1.08
0.7000000000000001,1.08
0.7010000000000001,1.08
0.7020000000000001,1.07
0.7030000000000001,1.07
0.704,1.07
0.705,1.07
0.706,1.07
0.707,1.08
0.708,1.08
0.709,1.08
0.71,1.07
0.711,1.07
0.712,1.07
0.713,1.08
0.714,1.07
