Time_s,Signal
0,-0.000824167
0.001,0.004175833
0.002,-0.002490833
0.003,-0.002490833
0.004,-0.002490833
0.005,-0.002490833
0.006,-0.002490833
0.007,0.002509167
0.008,-0.000824167
0.009,-0.000824167
0.01,0.0008425
0.011,-0.002490833
0.012,-0.002490833
0.013,-0.002490833
0.014,-0.0041575
0.015,-0.0041575
0.016,0.002509167
0.017,0.0008425
0.018,0.0008425
0.019,-0.002490833
0.02,-0.002490833
0.021,-0.0041575
0.022,-0.0041575
0.023,-0.002490833
0.024,-0.002490833
0.025,0.0008425
0.026,0.002509167
0.027,0.004175833
0.028,-0.002490833
0.029,-0.000824167
0.03,0.0008425
0.031,-0.002490833
0.032,-0.000824167
0.033,-0.0041575
0.034,-0.000824167
0.035,-0.000824167
0.036,-0.000824167
0.037,0.0008425
0.038,-0.002490833
0.039,0.0008425
0.04,0.0008425
0.041,-0.000824167
0.042,-0.0041575
0.043,-0.002490833
0.044,-0.002490833
0.045,0.0008425
0.046,-0.002490833
0.047,0.0008425
0.048,-0.002490833
0.049,-0.002490833
0.05,0.0008425
0.051,0.0008425
0.052,-0.005824167
0.053,-0.002490833
0.054,-0.0041575
0.055,0.0008425
0.056,-0.002490833
0.057,0.0008425
0.058,-0.000824167
0.059,0.0008425
0.06,0.004175833
0.061,0.002509167
0.062,-0.000824167
0.063,0.0008425
0.064,-0.002490833
0.065,-0.0041575
0.066,-0.002490833
0.067,-0.000824167
0.068,0.0008425
0.069,-0.002490833
0.07,0.002509167
0.071,0.0008425
0.072,-0.002490833
0.073,-0.0041575
0.074,-0.000824167
0.075,-0.002490833
0.076,-0.000824167
0.077,0.002509167
0.078,-0.000824167
0.079,-0.000824167
0.08,-0.000824167
0.081,0.002509167
0.082,-0.000824167
0.083,0.0008425
0.084,0.004175833
0.085,0.0008425
0.086,-0.002490833
0.087,-0.000824167
0.088,-0.002490833
0.089,0.002509167
0.09,0.0058425
0.091,0.002509167
0.092,-0.000824167
0.093,-0.000824167
0.094,0.002509167
0.095,0.002509167
0.096,-0.002490833
0.097,0.0008425
0.098,0.002509167
0.099,0.0008425
0.1,0.0008425
0.101,-0.002490833
0.102,-0.002490833
0.103,0.0008425
0.104,0.0008425
0.105,0.002509167
0.106,-0.000824167
0.107,-0.000824167
0.108,-0.000824167
0.109,-0.000824167
0.11,-0.000824167
0.111,-0.000824167
0.112,0.0008425
0.113,0.0008425
0.114,0.0008425
0.115,-0.000824167
0.116,-0.000824167
0.117,-0.002490833
0.118,0.0008425
0.119,0.0008425
0.12,-0.0041575
0.121,-0.0041575
0.122,0.0008425
0.123,-0.000824167
0.124,0.0008425
0.125,0.0008425
0.126,0.0008425
0.127,-0.000824167
0.128,-0.000824167
0.129,-0.002490833
0.13,-0.000824167
0.131,0.0008425
